,name,id,address_name,price_limit,Европейская кухня,Паназиатская кухня,Русская кухня,Американская кухня,Грузинская кухня,Постное меню,Вегетарианское меню,Cuisine,price_limit,office_time,reviews_general_rating,reviews_general_review_count
104,"Олимп, ресторан",70000001061886684,"Исполкомская улица, 15",750.0,1,0,0,0,0,0,0,Европейская кухня,750.0,17.23,1.1,2.0
105,"IL Патио, семейный итальянский ресторан",70000001032794163,"Невский проспект, 85",1000.0,1,0,0,0,0,0,0,Европейская кухня; Авторская кухня; Итальянская кухня,1000.0,15.31,4.8,664.0
106,"Kostas, ресторан-бар",70000001064904932,"Профессора Ивашенцова, 2а",1500.0,1,0,0,0,0,0,0,Европейская кухня,1500.0,20.76,4.5,29.0
107,"Хачо и Пури, грузинский ресторан",70000001031692708,"Лиговский проспект, 29",1900.0,1,0,0,0,1,0,0,Грузинская кухня,1900.0,10.37,4.7,1196.0
108,"Hype`s Pasta&Lounge, итальянский ресторан",70000001044473861,"Полтавский проезд, 2",1400.0,1,0,0,0,0,0,0,Итальянская кухня,1400.0,19.86,4.8,68.0
109,"Du nord 1834, французский ресторан-кондитерская",5348552841289852,"Лиговский проспект, 41/83",1500.0,1,0,0,0,0,0,0,Французская кухня,1500.0,14.33,3.6,372.0
110,"Pro.Хинкали, ресторан грузинской кухни",70000001093460002,"Лиговский проспект, 30",1250.0,1,0,0,0,1,0,0,Грузинская кухня,1250.0,17.43,4.9,461.0
111,"Сулико, грузинский ресторан",70000001019194812,"Восстания, 7",2000.0,1,0,0,0,1,0,0,Европейская кухня; Грузинская кухня,2000.0,11.45,4.0,173.0
112,Lavina,70000001082672492,"Херсонская улица, 43/12",600.0,1,0,0,1,0,0,0,Американская кухня; Европейская кухня; Авторская кухня,600.0,20.53,4.5,11.0
113,"Братцы Кебабцы, ресторан сербской кухни ",70000001086536306,"Восстания, 4",1000.0,1,0,0,0,0,0,0,Сербская кухня,1000.0,11.98,4.6,50.0
114,"Сыроварня, ресторан",70000001066672131,"Лиговский проспект, 30",2500.0,1,0,0,0,0,0,0,Домашняя кухня; Итальянская кухня,2500.0,16.96,4.8,1060.0
115,"Москва, ресторан",70000001024488120,"Невский проспект, 114-116",2500.0,1,1,0,0,0,1,0,Европейская кухня; Японская кухня; Паназиатская кухня,2500.0,13.44,3.5,276.0
116,"Большая кухня, ресторан который живет на крыше",70000001007125186,"Лиговский проспект, 30 лит А",1600.0,1,1,0,0,1,0,0,Европейская кухня; Итальянская кухня; Китайская кухня; Грузинская кухня,1600.0,17.05,4.5,1206.0
117,"La casa, траттория",70000001035124659,"Кременчугская улица, 9 к1",1200.0,1,0,0,0,0,0,0,Итальянская кухня,1200.0,22.64,4.7,175.0
118,"Hurma, ресторан грузинской кухни",70000001068760911,"Кременчугская улица, 11 к1",1300.0,1,0,0,0,1,0,0,Грузинская кухня,1300.0,23.18,4.7,139.0
119,"Добрый Грузин, сеть ресторанов",70000001063845529,"Кременчугская улица, 9 к1",1500.0,1,0,0,0,1,0,0,Грузинская кухня,1500.0,22.0,4.4,57.0
120,"Papa`, ресторан",70000001052425787,"Кременчугская улица, 11 к2",1700.0,1,0,1,0,0,0,0,Европейская кухня; Русская кухня,1700.0,23.89,5.0,34.0
121,"Плед твоё хюгге, ресторан",70000001039482697,"Кременчугская улица, 17 к2",2000.0,1,0,0,0,0,0,0,Европейская кухня,2000.0,26.38,4.6,37.0
122,"Atlas by cuisine, уютный ресторан",70000001060126144,"Транспортный переулок, 15",1000.0,1,0,1,0,0,0,0,Европейская кухня; Русская кухня; Итальянская кухня,1000.0,27.68,4.6,99.0
123,"Nevsky, ресторан",70000001063540595,"улица Александра Невского, 8а",1500.0,1,0,0,0,0,0,0,Европейская кухня,1500.0,21.44,4.8,26.0
124,"Токио-City, городские рестораны",70000001038597676,"площадь Александра Невского, 2",900.0,0,1,0,0,0,0,0,Японская кухня,900.0,23.9,4.5,661.0
125,"Beef bar vosem, панорамный ресторан",70000001006708142,"площадь Александра Невского, 2",1500.0,1,0,0,0,0,0,0,Европейская кухня,1500.0,23.92,3.6,23.0
126,В Питере пить,70000001061856161,"Херсонская улица, 43/12",1500.0,1,0,0,0,0,0,0,Европейская кухня; Авторская кухня,1500.0,21.1,4.8,171.0
127,"Пиворама, ресторан домашней кухни",5348552838530120,"площадь Александра Невского, 2",900.0,1,0,1,0,0,1,0,Русская кухня,900.0,23.68,3.8,90.0
128,"Poke wave, ресторан",70000001039920912,"Лиговский проспект, 30",800.0,0,0,0,1,0,0,0,Гавайская кухня,800.0,17.92,3.8,78.0
129,"Cristal, панорамный ресторан",70000001040336188,"Синопская набережная, 10",3000.0,1,1,0,0,0,0,0,Европейская кухня; Авторская кухня; Азиатская кухня,3000.0,23.74,4.7,254.0
130,"Moo moo burgers, бургерная",70000001034683450,"Лиговский проспект, 44",2000.0,0,0,0,1,0,0,0,Американская кухня,2000.0,19.85,4.8,1330.0
131,"IL Патио, семейный итальянский ресторан",5348552840773638,"Лиговский проспект, 30",1000.0,1,0,0,0,0,0,0,Европейская кухня; Авторская кухня; Итальянская кухня,1000.0,17.09,4.4,412.0
132,"Lamo, ресторан",70000001087004814,"Новгородская улица, 17",1200.0,1,0,0,0,0,0,0,Европейская кухня; Итальянская кухня,1200.0,13.46,2.3,3.0
133,"Багратион, ресторан",70000001064922079,"Синопская набережная, 66",1500.0,1,0,1,0,0,0,0,Европейская кухня; Русская кухня,1500.0,17.22,4.4,31.0
134,"Охотничий клуб, ресторан",5348552838480165,"Новгородская улица, 27",1500.0,1,0,1,0,0,1,0,Русская кухня,1500.0,16.46,4.5,25.0
135,"Jazzberry, бар-ресторан",70000001031989755,"Синопская набережная, 52",1200.0,1,0,0,0,0,0,0,Европейская кухня,1200.0,17.0,4.3,28.0
136,"Marketplace, ресторан-маркет",5348553838836651,"Малоохтинский проспект, 64 лит Б",600.0,1,1,0,0,0,0,0,Европейская кухня; Восточная кухня; Паназиатская кухня,600.0,24.96,3.9,49.0
137,"Чайный дом по-восточному, ресторан китайской кухни",5348552838545069,"Новочеркасский проспект, 16",1500.0,0,1,0,0,0,0,0,Китайская кухня,1500.0,26.64,3.6,68.0
138,"FermA, ресторан",70000001025971325,"Синопская набережная, 22",2000.0,1,0,0,0,0,1,0,Европейская кухня; Авторская кухня,2000.0,19.68,4.5,61.0
139,"Кореана, ресторан корейской кухни",70000001096438592,"Новочеркасский проспект, 33",1500.0,0,1,0,0,0,0,0,Корейская кухня,1500.0,28.04,4.8,467.0
140,"Mama roma, ресторан итальянской кухни",5348553838574866,"Новочеркасский проспект, 35",2000.0,1,0,0,0,0,0,0,Итальянская кухня,2000.0,28.73,4.5,330.0
141,"Che cafe, ​ресторан",70000001091772465,"Брантовская дорога, 3",1500.0,1,0,0,0,0,0,0,Европейская кухня,1500.0,31.16,4.7,85.0
142,"Хочу Пури, ресторан",70000001094319137,"Брантовская дорога, 3",1000.0,1,0,0,0,1,0,0,Грузинская кухня,1000.0,31.36,4.8,16.0
143,"Евразия, рестораны японской и европейской кухни",70000001030531215,"Брантовская дорога, 3",1200.0,1,1,0,0,0,1,0,Европейская кухня; Азиатская кухня,1200.0,31.73,4.3,290.0
144,"Вкусновица, ресторан сербской кухни",70000001032737708,"Брантовская дорога, 3",1200.0,1,0,1,0,0,1,0,Европейская кухня; Русская кухня; Сербская кухня,1200.0,32.13,4.4,137.0
145,"Стейк давай, ресторан",70000001032759026,"Брантовская дорога, 3",1000.0,1,0,0,0,0,0,0,Европейская кухня,1000.0,32.07,4.4,559.0
146,"Пахвала, чайхана",70000001021958992,"Брантовская дорога, 3",1500.0,1,1,0,0,1,0,0,Восточная кухня; Грузинская кухня,1500.0,32.74,4.5,232.0
147,"В`Альтер, ресторан",70000001080801310,"проспект Шаумяна, 14",1600.0,1,0,0,0,0,0,0,Европейская кухня; Авторская кухня; Итальянская кухня,1600.0,32.58,4.4,26.0
148,"Швабский домик, ресторан",5348552838484510,"Новочеркасский проспект, 28",1500.0,1,0,0,0,0,1,0,Европейская кухня; Немецкая кухня,1500.0,33.04,3.2,29.0
149,"Изумруд, ресторан",70000001066457047,"проспект Шаумяна, 26",1000.0,1,0,1,0,0,0,0,Европейская кухня; Русская кухня; Итальянская кухня,1000.0,36.72,3.5,3.0
150,"Вацлав, пивной ресторан",70000001024831959,"Заневский проспект, 34 к3",1000.0,1,0,0,0,0,1,0,Европейская кухня,1000.0,39.85,3.8,80.0
151,"Jäger, рестопаб",5348553838526666,"Свердловская набережная, 60",1200.0,1,0,0,0,0,1,0,Немецкая кухня,1200.0,31.64,4.6,117.0
152,"megapolis-bar, ресторан",5348553838960013,"Новочеркасский проспект, 49",1500.0,1,1,1,0,0,0,0,Европейская кухня; Русская кухня; Паназиатская кухня,1500.0,36.99,4.0,71.0
153,"Bahroma, ресторан",70000001039008504,"Заневский проспект, 65 ст1",1000.0,1,1,0,0,0,0,0,Европейская кухня; Восточная кухня,1000.0,43.86,4.7,580.0
154,Пекинский Сад,70000001088169580,"Таллинская, 11",2000.0,0,1,0,0,0,0,0,Китайская кухня,2000.0,37.14,4.6,9.0
